Account Name: Account Name,#Targets,Pro_diversity,Rank
"Scitum, S.A. de C.V.",100.0,64.64285714285714,1
Santa Margarita Water District,100.0,1.0,2
Ingram Micro Trading (Shanghai) Ltd.,88.3529411764706,92.92857142857143,3
Bose Corporation,85.44117647058823,43.42857142857143,4
Nomios,76.70588235294117,100.0,5
MIEL DISTI,67.97058823529412,78.78571428571428,6
Esco Corporation,67.97058823529412,22.214285714285715,7
"AFNI, INC.",67.97058823529412,15.142857142857142,8
Idex Corporation,65.05882352941177,29.285714285714285,9
Westcon Middle East Ltd.,62.14705882352941,71.71428571428571,10
Vintcom Technology Public Company Limited,59.23529411764705,71.71428571428571,11
VSTECS PERICOMP SDN BHD,59.23529411764705,50.5,12
"Arrow Electronics, Inc.",59.23529411764705,43.42857142857143,13
Mylan Pharmaceuticals Private Limited,59.23529411764705,36.357142857142854,14
"Imaging Healthcare Specialists, Llc",59.23529411764705,8.071428571428571,15
magellan netzwerke GmbH,56.3235294117647,85.85714285714286,16
Genpact,56.3235294117647,57.57142857142857,17
Belden Inc.,56.3235294117647,29.285714285714285,18
"Carco Group, Inc.",56.3235294117647,22.214285714285715,19
Alera Group,56.3235294117647,15.142857142857142,20
Mahesh Parmar,56.3235294117647,1.0,21
Kennametal Inc.,53.41176470588235,50.5,22
Essilor International SA,53.41176470588235,50.5,22
Richard Fleischman & Associates,53.41176470588235,43.42857142857143,23
Inmarsat Plc,53.41176470588235,36.357142857142854,24
Virtela Technology Services Incorporated,50.49999999999999,78.78571428571428,25
"Advanced Micro Devices, Inc. (AMD)",50.49999999999999,50.5,26
Saudi Binladin Group (SBG),50.49999999999999,15.142857142857142,27
National Competitiveness Center (Tayseer),50.49999999999999,1.0,28
"Presidential Bank, Fsb",47.588235294117645,22.214285714285715,29
"Proofpoint, Inc.",47.588235294117645,22.214285714285715,29
"FUJIREBIO DIAGNOSTICS, INC.",47.588235294117645,15.142857142857142,30
"Iovance Biotherapeutics, Inc.",47.588235294117645,15.142857142857142,30
New American Funding,47.588235294117645,15.142857142857142,30
Blaney McMurtry LLP,47.588235294117645,8.071428571428571,31
City of North Lauderdale,47.588235294117645,8.071428571428571,31
Phoenix American Incorporated,47.588235294117645,1.0,32
Supermax Personal Care Private Limited,47.588235294117645,1.0,32
"Redflex Traffic Systems, Inc.",47.588235294117645,1.0,32
"MercadoLibre, Inc.",44.67647058823529,36.357142857142854,33
Aggreko plc,44.67647058823529,29.285714285714285,34
"Agio, Llc",44.67647058823529,29.285714285714285,34
Kalihi Palama Health Center,44.67647058823529,15.142857142857142,35
Sijisa S.A de C.V.,44.67647058823529,15.142857142857142,35
Ira Services Trust Company,44.67647058823529,1.0,36
"Corporate Computer Solutions, Inc.",44.67647058823529,1.0,36
"Voloridge Investment Management, Llc",44.67647058823529,1.0,36
Tata Communications Limited,41.764705882352935,50.5,37
Worley Parsons Limited,41.764705882352935,43.42857142857143,38
Blackhawk Network,41.764705882352935,43.42857142857143,38
Texas Instruments Incorporated,41.764705882352935,43.42857142857143,38
"Arrow Enterprise Computing Solutions, Inc. NAM DISTI",41.764705882352935,43.42857142857143,38
Matson Navigation Company,41.764705882352935,36.357142857142854,39
Transcore,41.764705882352935,29.285714285714285,40
STARTEK,41.764705882352935,22.214285714285715,41
"Virtus Investment Partners, Inc.",41.764705882352935,22.214285714285715,41
LifePoint Hospitals,41.764705882352935,15.142857142857142,42
Apg Asset Management US Inc.,41.764705882352935,8.071428571428571,43
Alabaster City Schools,41.764705882352935,1.0,44
GAVS TECHNOLOGIES PRIVATE LIMITED,41.764705882352935,1.0,44
Connect Managed Services Limited,41.764705882352935,1.0,44
Telia Cygate Oy.,38.85294117647059,92.92857142857143,45
MARS HQ,38.85294117647059,57.57142857142857,46
Nexus Technologies,38.85294117647059,50.5,47
"MSC Industrial Direct Co., Inc.",38.85294117647059,29.285714285714285,48
Ramsay Health Care Limited,38.85294117647059,29.285714285714285,48
"MAXIMUS, Inc. (CO)",38.85294117647059,29.285714285714285,48
NSW Dept of Education and Training,38.85294117647059,29.285714285714285,48
Cepheid,38.85294117647059,29.285714285714285,48
Home Advisor,38.85294117647059,29.285714285714285,48
Hexaware Technologies Limited,38.85294117647059,15.142857142857142,49
Secure Meters (uk) Limited,38.85294117647059,15.142857142857142,49
National Electrical Benefit Fund,38.85294117647059,15.142857142857142,49
LUPIN LIMITED,38.85294117647059,8.071428571428571,50
Lifecell International Private Limited,38.85294117647059,8.071428571428571,50
Zhongcai Securities Limited,38.85294117647059,1.0,51
"Center For Autism And Related Disorders, Inc.",38.85294117647059,1.0,51
indevis IT Consulting and Solutions GmbH,35.94117647058823,78.78571428571428,52
"Cardinal Health, Inc.",35.94117647058823,78.78571428571428,52
Entrust Datacard Corporation,35.94117647058823,50.5,53
Blackstone Group,35.94117647058823,43.42857142857143,54
CenturyLink Authorized Support Center (ASC) Global,35.94117647058823,36.357142857142854,55
"Ingenio, Inc.",35.94117647058823,22.214285714285715,56
Specsavers Optical Group Limited,35.94117647058823,22.214285714285715,56
The Zenith Insurance,35.94117647058823,22.214285714285715,56
"Paul, Weiss, Rifkind, Wharton & Garrison LLP",35.94117647058823,22.214285714285715,56
"Sumitomo Mitsui Trust Bank (u.s.a.), Inc.",35.94117647058823,15.142857142857142,57
Connect,35.94117647058823,15.142857142857142,57
Cayuga Medical Center,35.94117647058823,15.142857142857142,57
Montgomery Technologies Llc,35.94117647058823,8.071428571428571,58
